aluno [ ~/environment/config/azure-cluster ]$ az vm list-skus --location southcentralus --size Standard_D --all --output table
ResourceType     Locations       Name                    Zones    Restrictions
---------------  --------------  ----------------------  -------  --------------------------------------------------------------------------------------------------------------------------------------------------------------
virtualMachines  southcentralus  Standard_D1             2        NotAvailableForSubscription, type: Location, locations: southcentralus
virtualMachines  southcentralus  Standard_D11            2        NotAvailableForSubscription, type: Location, locations: southcentralus
virtualMachines  southcentralus  Standard_D11_v2         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D11_v2_Promo   1,2,3    NotAvailableForSubscription, type: Location, locations: southcentralus
virtualMachines  southcentralus  Standard_D12            2        NotAvailableForSubscription, type: Location, locations: southcentralus
virtualMachines  southcentralus  Standard_D128ds_v6      1,2,3    None
virtualMachines  southcentralus  Standard_D128lds_v6     1,2,3    None
virtualMachines  southcentralus  Standard_D128ls_v6      1,2,3    None
virtualMachines  southcentralus  Standard_D128s_v6       1,2,3    None
virtualMachines  southcentralus  Standard_D12_v2         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D12_v2_Promo   1,2,3    NotAvailableForSubscription, type: Location, locations: southcentralus
virtualMachines  southcentralus  Standard_D13            2        NotAvailableForSubscription, type: Location, locations: southcentralus
virtualMachines  southcentralus  Standard_D13_v2         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D13_v2_Promo   1,2,3    NotAvailableForSubscription, type: Location, locations: southcentralus
virtualMachines  southcentralus  Standard_D14            2        NotAvailableForSubscription, type: Location, locations: southcentralus
virtualMachines  southcentralus  Standard_D14_v2         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D14_v2_Promo   1,2,3    NotAvailableForSubscription, type: Location, locations: southcentralus
virtualMachines  southcentralus  Standard_D15_v2         1,2,3    NotAvailableForSubscription, type: Location, locations: southcentralus
virtualMachines  southcentralus  Standard_D16ads_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D16ads_v6      1,2      None
virtualMachines  southcentralus  Standard_D16alds_v6     1,2      None
virtualMachines  southcentralus  Standard_D16als_v6      1,2      None
virtualMachines  southcentralus  Standard_D16as_v4       1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D16as_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D16as_v6       1,2      None
virtualMachines  southcentralus  Standard_D16a_v4        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D16ds_v4       1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D16ds_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D16ds_v6       1,2,3    None
virtualMachines  southcentralus  Standard_D16d_v4        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D16d_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D16lds_v5      1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D16lds_v6      1,2,3    None
virtualMachines  southcentralus  Standard_D16ls_v5       1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D16ls_v6       1,2,3    None
virtualMachines  southcentralus  Standard_D16pds_v5      1,2,3    NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 2,3
virtualMachines  southcentralus  Standard_D16pds_v6      1,2      None
virtualMachines  southcentralus  Standard_D16plds_v5     1,2,3    NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 2,3
virtualMachines  southcentralus  Standard_D16plds_v6     1,2      None
virtualMachines  southcentralus  Standard_D16pls_v5      1,2,3    NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 2,3
virtualMachines  southcentralus  Standard_D16pls_v6      1,2      None
virtualMachines  southcentralus  Standard_D16ps_v5       1,2,3    NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 2,3
virtualMachines  southcentralus  Standard_D16ps_v6       1,2      None
virtualMachines  southcentralus  Standard_D16s_v3        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D16s_v4        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D16s_v5        1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D16s_v6        1,2,3    None
virtualMachines  southcentralus  Standard_D16_v3         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D16_v4         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D16_v5         1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
virtualMachines  southcentralus  Standard_D1_v2          1,2,3    ['NotAvailableForSubscription, type: Location, locations: southcentralus', 'NotAvailableForSubscription, type: Zone, locations: southcentralus, zones: 1,2,3']
